==AiData:256,5,DV=4,RV=1
6.5622,5.8413,6.343,3.7254,0.2488
3.3312,2.2221,9.7769,5.2967,0.0232
8.9896,7.1701,6.8513,0.1156,0.35
4.9906,8.9756,4.8051,6.6374,0.3893
4.7953,2.6968,2.889,6.8909,1.3346
6.1197,0.004,10.256,7.405,0.0472
7.2283,1.9242,4.1962,3.5706,0.9198
2.1991,7.8721,9.4458,0.0765,0.022
0.8076,3.4712,2.4245,3.3846,0.3634
6.6263,1.3315,2.144,9.4953,5.7472
1.7182,4.2985,3.495,6.2151,0.2146
1.8525,5.0502,3.4374,8.265,0.2649
6.3727,6.7953,4.4194,9.6361,0.6879
2.0707,9.7511,7.9176,5.1685,0.0394
5.8972,6.2656,6.0244,8.9997,0.2349
8.6048,7.2641,5.4702,6.7508,0.6263
7.5498,7.6116,4.3164,4.0077,1.0111
1.5058,6.7661,3.7822,6.3971,0.2182
8.8182,3.6926,1.6342,1.2501,23.3303
1.8828,3.6079,8.317,3.4094,0.0203
4.288,9.5687,7.3772,5.4047,0.0898
9.824,3.7404,8.5658,4.8673,0.2089
2.4529,2.2361,5.1,6.8019,0.0807
8.0019,2.9713,10.4855,8.5798,0.0727
7.5785,5.1599,1.2513,5.4891,39.9346
1.8507,4.2411,4.8094,4.3072,0.0916
3.654,6.5292,8.9295,2.4106,0.0414
9.1673,5.9183,9.9897,5.7967,0.1167
1.5003,0.3245,10.8574,2.4654,0.0047
5.7443,2.9154,2.5239,6.1457,2.8009
9.3699,5.6269,7.469,2.656,0.2872
4.8282,8.3347,6.9592,6.7109,0.1243
0.0017,2.7309,1.6742,6.9081,0.7357
7.4221,9.4939,8.5815,3.3449,0.1324
6.2041,0.1817,9.6512,8.059,0.0574
3.3542,6.6862,4.305,6.2948,0.2847
0.7618,5.4603,10.0325,2.5981,0.0155
0.2299,9.014,7.2107,9.7498,0.0338
7.9151,9.3148,10.2302,5.6305,0.0895
4.5035,7.231,8.1606,6.923,0.0654
0.9765,0.309,1.5036,7.8381,0.4666
6.5749,1.859,9.5635,4.7998,0.0729
6.9483,7.6543,1.8467,3.5702,11.1082
5.6497,4.0328,2.3179,2.4251,3.6119
2.4109,7.4292,10.9763,5.2153,0.0151
0.7401,9.7044,2.8239,5.9451,0.571
8.5965,5.5082,2.7658,4.3353,4.6914
7.2383,3.1148,3.3749,5.7015,1.8131
5.5643,0.5259,10.5184,0.2798,0.0438
4.5986,5.9667,1.8254,3.6119,5.5764
8.8791,7.6401,7.6341,2.7961,0.2513
5.4394,2.601,5.8164,5.999,0.2098
5.2897,9.3295,3.6135,2.108,0.9941
0.448,1.8476,8.6485,6.06,0.0086
9.7377,8.6183,1.0967,8.6994,98.0353
2.4673,1.1871,8.7436,4.437,0.0192
2.7117,3.5625,6.87,1.2197,0.0493
7.6816,1.5678,8.1635,3.9772,0.144
7.6386,5.2049,6.62,5.1559,0.2792
7.5343,9.7856,8.4741,8.88,0.1439
0.7876,5.1193,2.7936,2.8168,0.3306
2.5174,2.8839,9.991,7.1532,0.0214
4.1773,8.7553,5.3631,7.373,0.219
3.9081,3.688,3.729,1.7498,0.461
3.3551,7.6767,9.7184,5.8139,0.0326
2.5012,1.4823,9.8462,8.078,0.0195
9.78,3.0958,2.4421,8.3502,8.4781
0.0418,5.0889,2.6272,6.8701,0.3595
0.0089,5.4566,7.4902,0.628,0.0249
0.0053,0.3442,5.7373,9.8072,0.0035
4.0927,5.8491,10.43,0.7552,0.029
5.2446,8.3147,3.2043,3.939,1.3655
1.6523,5.3555,9.9945,1.1969,0.0168
1.4385,7.6741,6.9855,7.9389,0.0416
9.1547,3.6748,2.4376,6.7017,7.5512
2.8622,2.6014,1.6767,1.7215,2.8637
4.0657,9.1641,8.1254,9.1948,0.0628
1.3892,9.4874,6.5367,9.0459,0.0539
3.9493,4.3958,9.6175,9.6457,0.0348
6.4359,9.7647,5.168,3.5568,0.4663
9.337,5.0921,9.2864,0.9145,0.1467
3.4179,5.4497,9.5327,0.4065,0.0285
1.4238,1.4773,10.436,5.1195,0.0065
6.8091,6.607,8.1165,1.2736,0.1265
7.4962,0.319,2.0188,9.7833,8.5892
1.7195,9.0616,3.6106,8.3778,0.3282
1.5753,8.8286,1.5563,9.5229,3.7539
0.6496,4.4035,4.0844,6.1076,0.0906
3.1998,8.7888,6.8511,9.9833,0.0774
0.3727,5.7831,8.8998,5.2554,0.0161
6.6945,6.3957,2.677,8.6892,3.3398
3.3563,0.3134,7.1849,7.7144,0.0414
4.8072,0.9679,6.9619,9.1435,0.0941
9.3969,5.1911,8.1854,6.9637,0.2139
7.3605,9.5139,10.1686,0.4457,0.0829
1.8205,8.0575,9.848,4.8723,0.023
5.6936,4.7841,4.7518,0.5735,0.4425
9.334,5.7643,10.2055,6.4187,0.112
0.2824,7.4883,6.8537,7.8874,0.0336
5.0082,7.708,6.1424,3.9676,0.1856
